id,nome,ano,sinopse,categoria
627,A Bela Adormecida,1959,Ciumenta e vingativa a fada Malévola lança um f...,Animação
628,A Saga Crepúsculo: Amanhecer - Parte 1,2011,"Um casamento, uma lua de mel e o nascimento de ...",Fantasia
629,A Hora do Rush 3,2007,O leste encontra o oeste novamente. Depois de u...,Policial
630,Enterrando os Mortos,2026,Um desastre militar catastrófico não apenas tro...,Terror
631,O Grande Lebowski,1998,"Em Los Angeles, 1991, Jeff Lebowski, mais conhe...",Policial
632,Malta,2024,"Problemas familiares, amor não correspondido e ...",Ficção Científica
633,Batman: O Cavaleiro das Trevas,2008,"Após dois anos desde o surgimento do Batman, os...",Ação
634,Por Água Abaixo,2006,"Roddy St. James, o mimado ratinho de estimação,...",Animação
635,Toy Story 4,2019,"Agora morando na casa da pequena Bonnie, Woody ...",Comédia
636,Dupla Perigosa,2026,"Dois meios-irmãos que não se falavam há muito, ...",Ação
637,Supergirl,2026,Kara Zor-El comemora seu aniversário de 21 anos...,Ação
638,A Morte do Demônio: A Ascensão,2023,Duas irmãs distantes cujo reencontro é interrom...,Terror
639,Slanted,2026,"""Slanted"" é um filme de ficção científica, terr...",Ficção Científica
640,POV: Presença Oculta,2026,O que começou como uma chamada de rotina vira u...,Terror
641,Hokum: O Pesadelo da Bruxa,2026,O escritor solitário Ohm Bauman refugia-se em u...,Terror
642,Pânico na Floresta 2,2007,"De olho em prêmio, grupo de desconhecidos parti...",Terror
643,Toy Story 5,2026,"O trabalho de Buzz, Woody, Jessie e do resto da...",Comédia
644,Sleepers: A Vingança Adormecida,1996,Quatro garotos da periferia de Nova York são co...,Policial
645,A Guerra do Amanhã,2021,"Em 2051, a humanidade está perdendo uma guerra ...",Ficção Científica
646,Magnatas do Crime,2020,"Um talentoso graduado estadunidense em Oxford, ...",Policial
647,Hamnet: A Vida Antes de Hamlet,2025,Um dos mais importantes escritores do cânone oc...,Drama
648,Capitã Marvel,2019,"Capitã Marvel, parte do exército de elite dos K...",Ficção Científica
649,O Retorno da Múmia,2001,Rick e Evelyn O'Connell estão morando na Londre...,Fantasia
650,Kung Fu Panda 4,2024,Po está prestes a se tornar o novo líder espiri...,Ação
651,Como Eu Era Antes de Você,2016,"Will é um garoto rico e bem-sucedido, até sofre...",Romance
652,"Oi, Papai",2023,Uma menina de 6 anos com uma doença crônica ped...,Romance
653,3 Idiotas,2009,Farhan e Raju partem em busca de seu amigo e co...,Drama
654,Homem-Aranha: De Volta ao Lar,2017,"Depois de atuar ao lado dos Vingadores, chegou ...",Ação
655,Beekeeper: Rede de Vingança,2024,Clay está em busca de vingança e não vai parar ...,Suspense
656,A Fantástica Fábrica de Chocolate,2005,Willy Wonka é o excêntrico dono da maior fábric...,Comédia
657,O Imbatível III: Redenção,2010,A cadeia se torna um ringue quando oito prision...,Policial
658,Outro Amor Fora do Tempo,2025,"O calouro astro do futebol americano, Drayton, ...",Romance
659,A Tristeza,2021,Um jovem casal tenta se reencontrar no meio de ...,Terror
660,A Saga Crepúsculo: Amanhecer - Parte 2,2012,"Após dar a luz a Renesmee, quase morrer e ser t...",Fantasia
661,Todo Mundo em Pânico 5,2013,O novo filme da franquia mais politicamente inc...,Comédia
662,Bata Antes de Entrar,2015,"Em uma noite chuvosa, duas belas mulheres batem...",Terror
663,Perfume: A História de um Assassino,2006,Jean-Baptiste Grenouille nasceu com o dom de se...,Policial
664,Nausicaä do Vale do Vento,1984,"Após os Sete Dias de Fogo, uma guerra que destr...",Animação
665,Pantera Negra: Wakanda para Sempre,2022,"A rainha Ramonda, Shuri, M'Baku, Okoye e as pod...",Ficção Científica
666,Megatubarão 2,2023,Um mergulho exploratório nas profundezas do oce...,Ficção Científica
667,Matrix,1999,O jovem programador Thomas Anderson é atormenta...,Ação
668,365 Dias: Hoje,2022,"Em 365 Dias: Hoje, após os acontecimentos de 36...",Drama
669,México 1986,2026,Quando surge uma oportunidade de última hora pa...,Drama
670,Alvin e os Esquilos,2007,"Alvin, Simon e Theodore são três esquilos espec...",Animação
671,Mike & Nick & Nick & Alice,2026,"Uma comédia de ação hilária e estilizada, para ...",Ficção Científica
672,Jogos Vorazes: A Esperança - Parte 1,2014,Após sobreviver à temível arena dos Jogos Voraz...,Suspense
673,Caos e Destruição,2025,"Um roubo de drogas sai do controle, levando um ...",Policial
674,Demon Slayer: Kimetsu no Yaiba Castelo Infinito,2025,Enquanto os membros dos caçadores e os Hashira ...,Ação
675,undertone,2026,A apresentadora de um popular podcast paranorma...,Terror
676,Onze Homens e um Segredo,2001,Danny Ocean é um homem de ação. Apenas 24 horas...,Suspense
677,Elementos,2023,"Em uma cidade onde moradores do fogo, da água, ...",Comédia
678,Bob Esponja: Em Busca da Calça Quadrada,2025,Bob Esponja e seus amigos da Fenda do Bikini em...,Comédia
679,Alerta Vermelho,2021,"No mundo do crime internacional, a INTERPOL lan...",Policial
680,Miraculous World: Tóquio - Força Estelar,2025,Marinette e Kyoko vão a Tóquio para se unirem a...,Animação
681,Amor à Flor da Pele,2000,"Ambientado em Hong Kong no início dos anos 60, ...",Romance
682,Guardiões da Galáxia - Vol. 2,2017,Os Guardiões precisam lutar para manter sua rec...,Ficção Científica
683,O Poderoso Chefão: Parte III,1990,"Don Michael Corleone está envelhecendo e, com a...",Suspense
684,Preparação e Pouso: Operação Bola de Neve,2025,Os elfos de Natal Lanny e Wayne entram em pânic...,Animação
685,Soul,2020,Joe Gardner é um professor de música de ensino ...,Fantasia
686,Vingança Brutal,2026,"Quando sua esposa é brutalmente assassinada, Ca...",Ação
687,Dupla Implacável,2010,James Reece (Jonathan Rhys Meyers) é o assisten...,Policial
688,Irmã do Pecado,2015,Desde a primeira vez em que Zoe (Ryan Newman) c...,Suspense
689,Um Cabra Bom de Bola,2026,Uma pequena cabra com grandes sonhos recebe uma...,Comédia
690,9 Canções,2004,"Londres, verão de 2003. Matt conhece Lisa, uma ...",Drama
691,O Bom Dinossauro,2015,Em um mundo onde os dinossauros e os humanos co...,Animação
692,Jurassic World: Reino Ameaçado,2018,Quatro anos após o fechamento do Jurassic World...,Suspense
693,Gente Grande,2010,A morte do treinador de basquete da infância de...,Comédia
694,Closer: Perto Demais,2004,Anna (Julia Roberts) é uma fotógrafa bem sucedi...,Romance
695,Marty Supreme,2025,Marty Mauser é um jovem prodígio do tênis de me...,Drama
696,O Fantástico Sr. Raposo,2009,O Sr. Raposo e a Sra. Raposa levam uma vida fel...,Animação
697,Gente Grande 2,2013,Lenny Feder e sua família se mudam para sua cid...,Comédia
698,O Lorax: Em Busca da Trúfula Perdida,2012,O menino Ted (Zac Efron) descobriu que o sonho ...,Animação
699,Um Lugar Silencioso: Dia Um,2024,"Quando Samira retorna para Nova York, sua viage...",Terror
700,Carros 2,2011,"O astro das corridas, Relâmpago McQueen, e o ca...",Comédia
701,Marco: Justiça Implacável,2024,"Em Kerala, a influente família Adattu domina o ...",Policial
702,Pânico na Floresta 4: Origens Sangrentas,2011,Um grupo de jovens esquiadores consegue encontr...,Terror
703,Wonka,2023,Antes de se tornar a mente brilhante por trás d...,Fantasia
704,Glass Onion: Um Mistério Knives Out,2022,O famoso detetive Benoit Blanc vai à Grécia par...,Policial
705,Dilwale vai levar a noiva,1995,Raj e Simran são dois jovens indianos vivendo e...,Drama
706,Secretária,2002,Uma jovem acaba de receber alta de um hospital ...,Romance
707,Constantine,2005,John Constantine (Keanu Reeves) é um experiente...,Terror
708,Operação Vingança,2025,Depois que sua esposa é tragicamente morta em u...,Suspense
709,O Predador,1987,"O major Alan ""Dutch"" Schaefer lidera uma equipe...",Ação
710,Seven - Os Sete Crimes Capitais,1995,"Quando, a ponto de se aposentar, o detetive Wil...",Suspense
711,Heel,2026,"Um criminoso de 19 anos, Tommy, é sequestrado e...",Suspense
712,Kick-Ass: Quebrando Tudo,2010,"Usando sua paixão por histórias em quadrinhos, ...",Policial
713,Diário de uma Paixão,2004,"Na década de 40, o operário Noah Calhoun e a ri...",Drama
714,Iron Lung: Oceano de Sangue,2026,"Após o desaparecimento das estrelas e planetas,...",Ficção Científica
715,Nossa Culpa,2025,O casamento de Jenna e Lion marca o tão esperad...,Drama
716,Extermínio: A Evolução,2025,Já se passaram quase três décadas desde que o v...,Ficção Científica
717,O Galinho Chicken Little,2005,Chicken Little é um galo cheio de imaginação qu...,Animação
718,Matrix Revolutions,2003,"Após enfrentar os sentinelas no mundo real, Neo...",Suspense
719,Guerreiras do K-Pop,2025,"Quando não estão lotando estádios, as estrelas ...",Comédia
720,O Quinto Elemento,1997,"No século XXIII, um motorista de taxi de Nova Y...",Ficção Científica
721,A Morte de um Unicórnio,2025,"Elliot, funcionário de uma empresa farmacêutica...",Terror
722,A Lenda de Hei 2,2025,O filme conta a história de uma “nova missão” d...,Fantasia
723,O Exterminador do Futuro: Gênesis,2015,"John Connor, líder da resistência humana contra...",Suspense
724,Dollhouse,2025,Yoshie e Tadahiko são casados e tinham uma filh...,Terror
725,Dungeons & Dragons: Honra Entre Rebeldes,2023,Um ladrão charmoso e um grupo de aventureiros i...,Comédia
726,Amor Demais,2026,"Após a morte de seu irmão, June recomeça a vida...",Drama
727,...E o Vento Levou,1939,Scarlett O'Hara é uma jovem mimada que consegue...,Romance
728,Predador: Assassino de Assassinos,2025,Essa antologia animada original acompanha três ...,Animação
729,Assassino a Preço Fixo 2 - A Ressurreição,2016,Arthur Bishop é obrigado a reativar seu lado cr...,Policial
730,Malévola: Dona do Mal,2019,Os anos foram gentis com Malévola e Aurora. Seu...,Fantasia
731,E.T.: O Extraterrestre,1982,Um alienígena é deixado para trás na Terra e é ...,Ficção Científica
732,Agak Laen: Menyala Pantiku!,2025,"Após fracassarem repetidamente em suas missões,...",Policial
733,Jogos Psicológicos,2021,Um casal apaixonado passa um tempo longe da civ...,Suspense
734,Ela,2013,"Em um futuro próximo, um escritor solitário des...",Romance
735,Psicopata em Fuga,2026,Um policial rastreia um assassino depois que se...,Terror
736,Van Helsing: O Caçador de Monstros,2004,O famoso caçador de monstros Van Helsing é envi...,Terror
737,O Bad Boy e Eu,2025,Dallas sonha em entrar para a melhor escola de ...,Romance
738,Sultão,2016,Sultan é a história de Sultan Ali Khan - um cam...,Romance
739,Ted,2012,"Quando criança, John desejou que seu ursinho Te...",Comédia
740,Kulong,2024,Três amigos se refugiam em um resort para colab...,Drama
741,Corra!,2017,"Agora que Chris e sua namorada, Rose, chegaram ...",Terror
742,O Esquadrão Suicida,2021,"Bem-vindos ao inferno: Belle Reve, a prisão com...",Comédia
743,A Origem,2010,Cobb é um ladrão habilidoso que comete espionag...,Ação
744,Ela é o Cara,2006,"Viola é uma boa jogadora de futebol, mas sempre...",Romance
745,Todo Mundo em Pânico,2026,Vinte e seis anos depois de escaparem de um ass...,Comédia
746,Fale Comigo,2023,Quando um grupo de amigos descobre como conjura...,Terror
747,Torturada Pelo Próprio Pai,2021,Sarah Cody é uma adolescente que não vê a hora ...,Suspense
748,Irmão Urso,2003,Em busca de vingança por seu pai ter sido morto...,Animação
749,Avatar: O Caminho da Água,2022,12 anos depois de explorar Pandora e se juntar ...,Ação
750,Drive,2011,Um motorista habilidoso é dublê em Hollywood e ...,Policial
751,American Pie: A Primeira Vez é Inesquecível,1999,"Jim Kevin, Oz e Finch são quatro amigos às vésp...",Comédia
752,Thor: Ragnarok,2017,Thor está preso do outro lado do universo. Ele ...,Ficção Científica
753,A Identidade Bourne,2002,Um homem sem memória é resgatado do oceano por ...,Suspense
754,Os Croods,2013,Um terremoto destrói a caverna de uma família p...,Animação
755,Quarteto Fantástico: Primeiros Passos,2025,No vibrante cenário de um mundo retrofuturista ...,Ação
756,Monstros S.A.,2001,"O astro do susto, Sulley, e seu falante assiste...",Comédia
757,After: Depois da Verdade,2020,"Após descobrir sobre a aposta, Tessa (Josephine...",Romance
758,Spirit: O Corcel Indomável,2002,No final do século XVII em pleno Oeste norte-am...,Animação
759,Meu Malvado Favorito 4,2024,"Nesta sequência, o vilão mais amado do planeta ...",Ação
760,Peter Pan,1953,"Deixando o conforto e segurança de seus lares, ...",Animação
761,Food Truck do Amor,2025,"A história de Sofia, que perde o emprego e o na...",Romance
762,Logan,2017,"Em um futuro próximo, um cansado Logan cuida do...",Ficção Científica
763,Kaguya: A Princesa Espacial,2026,A vida de Iroha sai da órbita quando a fugitiva...,Fantasia
764,"Se Beber, Não Case!",2009,"Dois dias antes de seu casamento, Doug e três a...",Comédia
765,"Vermelho, Branco e Sangue Azul",2023,"Depois que uma altercação entre Alex, o filho d...",Romance
766,Godzilla e Kong: O Novo Império,2024,O poderoso Kong e o temível Godzilla se unem co...,Ficção Científica
767,O Sorveteiro,2026,Um sorveteiro misterioso distribui um doce amal...,Terror
768,Como Treinar o Seu Dragão 3,2019,Decidido a fazer de Berk um verdadeiro libelo a...,Animação
769,Missão Refúgio,2026,"Um ex-assassino de aluguel, agora um homem recl...",Ação
770,Intenções Perigosas,1993,Executivo perde o emprego e se suicida. Acredit...,Suspense
771,Manual Prático da Vingança Lucrativa,2026,Deserdado desde o nascimento por sua família bi...,Comédia
772,Horton e o Mundo dos Quem!,2008,"Horton é um elefante que, um dia, ouve um pedid...",Animação
773,O Dublê,2024,Colt é um dublê que tem uma tremenda queda pela...,Romance
774,A Pequena Sereia,1989,"Ariel é a filha caçula do Rei Tritão, comandant...",Fantasia
775,Superman,2025,"Superman, um jovem repórter de Metrópolis, emba...",Ação
776,Contatos Imediatos do Terceiro Grau,1977,Em uma pequena cidade americana vive Roy Neary ...,Ficção Científica
777,O Contador,2016,O matemático Christian Wolff sente-se muito mai...,Policial
778,Rocky Em Uma Gatástrofe,2026,"Quando um dos planos de Humdinger dá errado, o ...",Animação
779,10 Coisas Que Eu Odeio em Você,1999,"Em seu primeiro dia na nova escola, Cameron se ...",Comédia
780,Piratas do Caribe: Navegando em Águas Misteriosas,2011,O passado do capitão Jack Sparrow volta a alcan...,Fantasia
781,Marcas da Violência,2005,Tom Stall leva uma vida tranquila e feliz na pe...,Suspense
782,Predador: Terras Selvagens,2025,"No futuro, em um planeta remoto, um jovem Preda...",Ação
783,Ataque Brutal,2026,"Em meio a um furacão devastador, uma comunidade...",Terror
784,Uma Aventura Lego,2014,"Emmet é um Lego comum, até o dia em que é confu...",Animação
785,Desejo e Perigo,2007,"Durante a Segunda Guerra Mundial, uma agente se...",Suspense
786,Nos Seus Sonhos,2025,Um casal de irmãos viaja pela paisagem absurda ...,Fantasia
787,Homem de Ferro 3,2013,Depois de um inimigo reduzir o mundo de Tony St...,Ação
788,Shrek,2001,"Há muito tempo, em um pântano muito remoto, viv...",Comédia
789,Atirador,2007,O atirador Marksman Bob Lee Swagger deixa o exé...,Suspense
790,Hereditário,2018,"Após a morte da reclusa avó, a família Graham c...",Terror
791,Expresso Galático Metrô Via-Lácteo: O Filme,2026,Seis delinquentes precisam limpar um trem como ...,Ação
792,A Lista de Schindler,1993,O alemão Oskar Schindler viu na mão de obra jud...,Drama
793,O Protetor: Capítulo Final,2023,"Sentindo-se em casa no sul da Itália, o ex-agen...",Suspense
794,Entre Dois Amores,2020,Após François herdar a serralheria de sua famíl...,Romance
795,Vizinhança do Barulho,1996,Ashtray agora é um homem e está de volta ao vio...,Policial
796,John Wick: Um Novo Dia para Matar,2017,O lendário John Wick é forçado a deixar a apose...,Suspense
797,Gigantes de Aço,2011,"Em um futuro próximo, as máquinas substituem os...",Ação
798,Operação Cupido,1998,As gêmeas Hallie e Annie foram separadas ainda ...,Romance
799,Ponto Sem Retorno,2026,Após a população mundial ter sido devastada por...,Suspense
800,Obsessão,2026,"Sem grandes pretensões, um romântico incurável ...",Terror
801,O Grinch,2018,O Grinch é um ser verde que não suporta o Natal...,Animação
802,Sua Culpa,2024,O amor entre Noah e Nick aparenta ser inabaláve...,Drama
803,Sobrenatural: A Porta Vermelha,2023,Josh Lambert segue para o leste para deixar seu...,Terror
804,O Assassinato de Rachel Nickell,2026,Uma jovem mãe é assassinada em plena luz do dia...,Policial
805,John Wick 4: Baba Yaga,2023,"Com o preço por sua cabeça cada vez maior, John...",Ação
806,Jogo da Morte,1978,Billy Lo é um ator de filmes de artes marciais ...,Suspense
807,Madagascar 2,2008,"Alex e seus amigos tentam voltar para casa, mas...",Animação
808,Carga Explosiva,2002,O ex-operador das Forças Especiais Frank Martin...,Policial
809,O Drama,2026,Profundamente apaixonados e em meio aos prepara...,Drama
810,Me Chame Pelo Seu Nome,2017,O sensível e único filho da família americana c...,Romance
811,K.G.F: Capítulo 2,2022,A terra sangrenta de Kolar Gold Fields (KGF) te...,Suspense
812,Duna,2021,"Em um futuro distante, planetas são comandados ...",Ficção Científica
813,Drácula de Bram Stoker,1992,O vampiro Conde Drácula vem à Inglaterra atrás ...,Romance
814,Como Mágica,2026,Uma pequena criatura da floresta e um pássaro m...,Fantasia
815,A Outra Face,1997,Obcecado em trazer o terrorista Castor Troy à j...,Policial
816,Doutor Estranho no Multiverso da Loucura,2022,"Doutor Estranho, com a ajuda de aliados místico...",Fantasia
817,Mortal Kombat,2021,O lutador de MMA Cole Young deve treinar para l...,Ação
818,Plano em Família 2,2025,Agora que os dias de assassino de Dan ficaram p...,Comédia
819,Ghost in the Shell: O Fantasma do Futuro,1995,"Major Motoko Kusanagi, uma ciborgue do Setor de...",Animação
820,Os Vingadores: The Avengers,2012,"Loki, o irmão de Thor, ganha acesso ao poder il...",Ação
821,Guerra nas Estrelas: O Império Contra-Ataca,1980,As forças imperais comandadas por Darth Vader l...,Ficção Científica
822,Doutor Estranho,2016,"Após sua carreira ser destruída, um brilhante, ...",Fantasia
823,Meu Malvado Favorito,2010,"Um homem que adora todas as coisas diabólicas, ...",Ficção Científica
824,Extermínio,2002,Um poderoso vírus está a solta. Transmitido em ...,Ficção Científica
825,Harry Potter e a Câmara Secreta,2002,"Carros voadores, árvores que lutam e um misteri...",Fantasia
826,Babilônia,2022,"Durante a era de ouro de Hollywood, em Los Ange...",Comédia
827,"Cara de Um, Focinho de Outro",2026,Mabel é uma jovem amante da natureza que tenta ...,Ficção Científica
828,Emoji: O Filme,2017,Textopolis é a cidade onde os Emojis favoritos ...,Comédia
829,King's Man: A Origem,2021,Quando uma série dos piores tiranos e gênios do...,Suspense
830,Nosferatu,2024,Um conto gótico de obsessão entre uma jovem ass...,Terror
831,O Senhor dos Anéis: A Guerra dos Rohirrim,2024,183 anos antes dos eventos narrados na trilogia...,Animação
832,As Ovelhas Detetives,2026,George é um pastor que lê romances policiais pa...,Comédia
833,Guerra nas Estrelas,1977,A princesa Leia é mantida refém pelas forças im...,Ação
834,Os Bad Boys,1995,Um carregamento de heroína confiscada avaliada ...,Policial
835,Amnésia Criminosa,2025,"Após cumprir quatorze anos de prisão por roubo,...",Drama
836,O Rei Leão,1994,"Mufasa, o Rei Leão, e a rainha Sarabi apresenta...",Drama
837,Pornô: Sedutora e Fatal,2019,Abe é um adolescente pervertido que trabalha co...,Terror
838,Todo Poderoso,2003,Apesar de sua popularidade e do amor de sua nam...,Comédia
839,Encontro Marcado,1998,Quando o Anjo da Morte chega à Terra para busca...,Fantasia
840,Top Gun: Maverick,2022,Depois de mais de 30 anos de serviço como um do...,Ação
841,Rambo: Programado Para Matar,1982,Quando o ex-Boina Verde John Rambo é assediado ...,Suspense
842,Desafio no Bronx,1993,"Bronx, 1960. Um garoto de nove anos, filho de u...",Policial
843,Tom e Jerry: Uma Aventura no Museu,2025,"Jerry invade uma grande exposição no museu, mas...",Fantasia
844,Pantera Negra,2018,O príncipe T'Challa retorna a Wakanda para ser ...,Ficção Científica
845,Hotel Transilvânia 2,2015,"Drácula percebe que seu neto, que é metade huma...",Animação
846,Guerra Primitiva,2025,"Durante a Guerra do Vietnã, uma unidade de reco...",Ficção Científica
847,Rio,2011,Capturada por contrabandistas de animais quando...,Animação
848,O Justiceiro,2004,"Após ter sua esposa e filho assassinados, Frank...",Policial
849,The Mortuary Assistant,2026,"Rebecca Owens, recém-formada em ciências mortuá...",Terror
850,Ilha do Medo,2010,"No verão de 1954, os agentes judiciais Teddy Da...",Suspense
851,Viveiro,2019,Na esperança de encontrar o lugar perfeito para...,Terror
852,Segundas Intenções,1999,"Sem querer, Annette passa a ser objeto de um di...",Drama
853,Truque de Mestre,2013,Um agente do F.B.I. e uma detetive da Interpol ...,Suspense
854,Trocando as Bolas,1983,O que pode acontecer quando um magnata de Wall ...,Comédia
855,O Estranho Mundo de Jack,1993,"Jack Skellington, o Rei das Abóboras, se cansa ...",Fantasia
856,O Telefone Preto 2,2025,"Quatro anos após escapar de The Grabber, Finney...",Terror
857,Look Back,2024,Esta é a história de Fujino e Kyomoto. Enquanto...,Animação
858,O Jogo do Predador,2026,Uma mulher em luto embarca sozinha em uma avent...,Ação
859,Hércules,1997,"Dono de uma força sobre-humana, o jovem mortal ...",Fantasia
860,O Sobrevivente,2025,"Em um futuro próximo, ""O Sobrevivente"" é o show...",Ação
861,O Primeiro Amor,2010,Juli e Bryce se conheceram aos sete anos de ida...,Drama
862,Quatro Irmãos,2005,"Bobby (Mark Wahlberg), Jeremiah (André Benjamin...",Policial
863,Mufasa: O Rei Leão,2024,Acompanhe a história épica da ascensão improváv...,Animação
864,Resgate 2,2023,"Depois de escapar da morte por um triz, o merce...",Policial
865,Um Drink no Inferno,1996,Dois irmãos procurados pela polícia por 16 mort...,Terror
866,Super Mario Galaxy: O Filme,2026,"Depois de salvar o Reino dos Cogumelos, Mario e...",Comédia
867,O Show de Truman: O Show da Vida,1998,Truman Burbank é um pacato vendedor de seguros ...,Drama
868,O Exterminador do Futuro,1984,"Em um futuro próximo, a guerra entre humanos e ...",Ficção Científica
869,Barbie,2023,"No mundo mágico das Barbies, ""Barbieland"", uma ...",Comédia
870,Alerta Apocalipse,2026,Quando um fungo altamente perigoso escapa de um...,Ficção Científica
871,Animais Fantásticos e Onde Habitam,2016,"O ano é 1926 e algo misterioso, que ameaça expo...",Fantasia
872,Le calde notti di Poppea,1969,As Noites Quentes de Popeia (italiano: Le calde...,Comédia
873,A Noiva do Ano,2026,Depois que seu sonho de formar uma família dá e...,Romance
874,Amor a Toda Prova,2011,O quarentão Carl Weaver leva uma vida feliz ao ...,Romance
875,Corra que a Polícia Vem Aí!,1988,Leslie Nielsen interpreta o tira cabeça-dura Fr...,Policial
876,O Silêncio da Noite,2024,Lucjan é enviado para um asilo onde ele é muito...,Drama
877,Entre Montanhas,2025,Dois agentes altamente treinados se aproximam à...,Ficção Científica
878,Megatubarão,2018,"Na fossa mais profunda do Oceano Pacífico, a tr...",Terror
879,Cinderela,2015,"Após a trágica e inesperada morte do seu pai, E...",Fantasia
880,Jack Reacher: O Último Tiro,2012,O ex-investigador militar Jack Reacher surge da...,Policial
881,Akira,1988,Uma grande explosão fez com que Tóquio fosse de...,Animação
882,A Era do Gelo: O Big Bang,2016,"Depois que o esquilo Scrat, involuntariamente, ...",Ficção Científica
883,Wicked: Parte II,2025,"Elphaba, agora demonizada como a Bruxa Má do Oe...",Fantasia
884,Anônimo 2,2025,"O pai suburbano Hutch Mansell, ex-assassino let...",Suspense
885,Perfect Blue,1998,Mima Kirigoe é membro de uma banda de música po...,Suspense
886,Pânico na Floresta,2003,"Cinco amigos percorrem uma trilha na floresta, ...",Terror
887,Plano Doentio,2003,Um jovem volta para casa para encontrar seu pai...,Romance
888,Testemunha de Acusação,1957,Quando Leonard Vole é preso sob a acusação de t...,Policial
889,A Hora do Rush,1998,Quando a filha de um diplomata chinês é sequest...,Comédia
890,Mortal Kombat Legends: Batalha dos Reinos,2021,Os heróis de Earthrealm devem viajar para Outwo...,Animação
891,A Lenda de Aang: O Último Mestre do Ar,2026,"O Avatar Aang, o último mestre do ar do mundo, ...",Ação
892,Rango,2011,Rango é um camaleão da cidade grande que vai pa...,Comédia
893,Harry Potter e a Ordem da Fênix,2007,"Lord Voldemort está de volta, mas o Ministério ...",Fantasia
894,Baahubali: The Epic,2025,Um guerreiro lendário surge de origens humildes...,Drama
895,Todo Mundo em Pânico 4,2006,Mais uma continuação da franquia de filmes que ...,Comédia
896,Cinderela,1950,"Cinderela vive com sua madrasta, Lady Tremaine,...",Fantasia
897,O Curioso Caso de Benjamin Button,2008,Benjamin Button é um homem que nasce idoso e re...,Romance
898,Tusk: A Transformação,2014,Um americano escritor de podcasts impetuoso vai...,Terror
899,Aluna Exemplar e Estrela Pornô,2017,"Miriam Weeks, também conhecida como Belle Knox,...",Drama
900,Ponyo - Uma Amizade que Veio do Mar,2008,Um garoto de 5 anos chamado Sosuke fica amigo d...,Animação
901,Shrek 2,2004,"Após se casar com a Princesa Fiona, Shrek vive ...",Comédia
902,Infiltrado,2021,"Harry, conhecido apenas como H, é um homem mist...",Suspense
903,O Espanta Tubarões,2004,Oscar é um pequeno peixe que tem sonhos grandes...,Animação
904,Planeta dos Macacos: O Reinado,2024,"Várias gerações no futuro, após o reinado de Cé...",Ficção Científica
905,A Saga Crepúsculo: Lua Nova,2009,"Logo após Bella Swan completar 18 anos, Edward ...",Fantasia
906,Orgulho e Preconceito,2005,"Elizabeth Bennet vive com sua mãe, pai e irmãs ...",Romance
907,Red: Crescer é Uma Fera,2022,"Mei, de treze anos, está experimentando a estra...",Comédia
908,Passageiro do Mal,2026,"Durante uma viagem de van, um jovem casal prese...",Terror
909,Straight,2024,Roberto é um banqueiro bem-sucedido de 32 anos ...,Romance
910,Máquina de Guerra,2026,"Em sua última missão de treinamento, um engenhe...",Ação
911,Abigail,2024,Um grupo de criminosos sequestra a filha de 12 ...,Terror
912,Invocação do Mal,2013,"Harrisville, Rhode Island, Estados Unidos, 1968...",Terror
913,A Freira,2018,"Presa em um convento na Romênia, uma freira com...",Terror
914,Psicopata Americano,2000,"Em Nova York, em 1987, o belo jovem profissiona...",Suspense
915,Gato de Botas 2: O Último Pedido,2022,O Gato de Botas descobre que sua paixão pela av...,Comédia
916,Toy Story: Um Mundo de Aventuras,1995,Buzz Lightyear é o novo e sofisticado astronaut...,Comédia
917,Mortal Kombat: A Aniquilação,1997,"Shao Kahn, o imperador do Outworld, desrespeita...",Ficção Científica
918,Your name.,2016,Mitsuha é a filha do prefeito de uma pequena ci...,Drama
919,Todos Menos Você,2023,"Bea e Ben parecem o casal perfeito, mas depois ...",Comédia
920,As Strippers Zumbi,2008,Quando uma agência secreta do governo libera um...,Terror
921,Laranja Mecânica,1971,"Em uma Inglaterra do futuro, um membro de uma g...",Policial
922,Identidade,2003,Uma violenta tempestade faz com que um grupo de...,Suspense
923,Midori,1992,Uma garotinha vendedora de flores perde a mãe e...,Terror
924,Garota do Século 20,2022,O ano é 1999 e uma adolescente começa a monitor...,Romance
925,Vingadora,2026,Nikki é uma ex-militar que lutou nos piores cam...,Ação
926,Sherlock Holmes,2009,O excêntrico detetive consultor Sherlock Holmes...,Policial
927,A Desconhecida,2026,Uma mulher é encontrada em um contêiner totalme...,Suspense
928,Ursos Sem Curso: O Filme,2020,"Quando Pardo, Panda e Polar, amantes de food tr...",Animação
929,Cabo do Medo,1991,Quando o advogado Sam Bowden retém provas que p...,Suspense
930,Luca,2021,"Ambientado na bela Riviera Italiana, este longa...",Comédia
931,Edward Mãos de Tesoura,1990,Peg Boggs é uma vendedora que acidentalmente de...,Romance
932,Casamento Sangrento,2019,Grace acaba de se casar com o herdeiro milionár...,Terror
933,Harry Potter e a Pedra Filosofal,2001,"Harry Potter é um garoto que, após a misteriosa...",Fantasia
934,Coringa: Delírio a Dois,2024,Arthur Fleck está institucionalizado em Arkham ...,Policial
935,Resgate em Grande Altitude,2025,Ativistas criminosos fazem 300 reféns. Um extre...,Suspense
936,Missão: Impossível - Acerto de Contas Parte 1,2023,Ethan Hunt e sua equipe embarcam em sua missão ...,Suspense
937,Dangal,2016,Um ex-lutador treina duas de suas filhas para c...,Comédia
