id,nome,ano,sinopse,categoria
130,A Hora do Mal,2025,"Quando todas as crianças de uma mesma classe, e...",Terror
131,Mestres do Universo,1987,Eternia é atacada por Esqueleto (Frank Langella...,Ação
132,Seven Snipers,2026,Uma franco-atiradora aposentada escondida em um...,Ação
133,O Fabuloso Destino de Amélie Poulain,2001,Após deixar a vida de subúrbio que levava com a...,Romance
134,Venom: A Última Rodada,2024,Eddie e Venom estão fugindo. Perseguidos pelos ...,Ação
135,Duro de Matar,1988,O policial de Nova York John McClane está visit...,Suspense
136,Feitiço do Tempo,1993,"Phil, um arrogante meteorologista de um canal d...",Fantasia
137,Uma Linda Mulher,1990,Um magnata perdido pede ajuda à uma prostituta ...,Romance
138,O Maníaco Invisível,1990,Cientista tarado é internado em hospício após a...,Ficção Científica
139,O Serviço de Entregas da Kiki,1989,"Uma jovem bruxa, em seu ano obrigatório de vida...",Animação
140,Velozes & Furiosos: Para Sempre,2028,Continuação direta de Velozes & Furiosos 10 (20...,Suspense
141,Minha Culpa: Londres,2025,"Noah, de 18 anos, se muda dos EUA para Londres ...",Romance
142,A Carne é Fraca,2025,O tímido Mark se apaixona pela misteriosa Ash. ...,Romance
143,A Sombra do Perigo,2025,"Um policial aposentado, especialista em rastrea...",Ação
144,Boyka: O Imbatível,2016,"No quarto capítulo da franquia de luta, Boyka e...",Suspense
145,Psicópata: El Asesino del Conejo Blanco,2026,Um assassino em série brutal desafia as autorid...,Terror
146,Armadilha,2024,Um pai e sua filha adolescente assistem a um ba...,Policial
147,Os Croods 2: Uma Nova Era,2020,"A família Crood se muda para um lugar seguro, o...",Animação
148,Vida de Inseto,1998,"Flik é uma formiga cheia de ideias que, em nome...",Comédia
149,Corajosa 3,2026,A destemida policial Shivani Shivaji Roy está d...,Suspense
150,Robôs,2005,Rodney Lataria é um robô que tem um dom para in...,Animação
151,The Flash,2023,Os mundos colidem quando Barry Allen usa seus s...,Ficção Científica
152,Babysitters de Luxo,2008,De um romance com o pai das crianças de quem cu...,Drama
153,O Tempo com Você,2019,O estudante Hodaka foge de sua casa em uma ilha...,Animação
154,Dinheiro Suspeito,2026,Quando uma equipe de policiais de Miami encontr...,Ação
155,A Bruxa - Parte 2: A Colisão,2022,Uma garota acorda em um enorme laboratório secr...,Suspense
156,Perigosa Obsessão,2014,"No verão de 1969, o Coronel Jin Pyeong, preso e...",Drama
157,O Sussurro,2026,"Assombrados pelo legado vampírico do pai, os ir...",Terror
158,O Fruto Maduro,1993,"A jovem e rica estudante Jane, deveria ir junto...",Romance
159,Lilo & Stitch,2002,Lilo é uma garotinha de cinco anos que ama cuid...,Animação
160,Na Fronteira 2,2026,"Três soldados idealistas do exército, marinha e...",Drama
161,Me Diga O Que Quer (De Verdade),2023,"Diego e Emilia, casados há 16 anos, redescobrem...",Drama
162,O Último Conquistador,2026,"Com o colapso do Império Mongol, um guerreiro m...",Ação
163,Faça Ela Voltar,2025,"Dois meios-irmãos, Andy e Piper, têm suas vidas...",Terror
164,O Protetor 2,2018,"Criminosos assassinam Susan Plummer, a melhor a...",Policial
165,Kantara: A Lenda de Shiva - Capítulo 1,2025,"Em uma aldeia do sul da Índia, um jovem rebelde...",Drama
166,Até a Última Gota,2025,Até onde ela vai aguentar? Após um dia devastad...,Policial
167,Caminhos do Crime,2026,Um ladrão enigmático realiza assaltos de alto r...,Suspense
168,O Segredo de Brokeback Mountain,2005,Um conto de amor sobre o relacionamento de dois...,Romance
169,Shang-Chi e a Lenda dos Dez Anéis,2021,Shang-Chi precisa confrontar o passado que pens...,Fantasia
170,O Fim da Rua,2026,Uma família nos anos 80 começa a perceber acont...,Ficção Científica
171,Luck,2022,A corajosa e azarada Sam Greenfield se aventura...,Animação
172,Mestres do Universo,2026,Adam caiu na Terra quando era criança e perdeu ...,Ação
173,Amores Expressos,1994,"Em Hong Kong, dois policiais se apaixonam por d...",Romance
